File,Accent,VoiceNum,Stim,Text
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s41.wav,CH,02,41,THIS IS HER FAVORITE SPORT
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s44.wav,CH,02,44,MOM LOOKED AT HER FEET
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s46.wav,CH,02,46,HE READ ABOUT THE TREES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s48.wav,CH,02,48,MOM TALKED ABOUT THE PIE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s5.wav,CH,02,5,WE POINTED AT THE BIRD
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s50.wav,CH,02,50,HE LOOKED AT THE SLEEVES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s51.wav,CH,02,51,THIS IS HER FAVORITE TIME
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s52.wav,CH,02,52,THERE ARE MANY DAYS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s55.wav,CH,02,55,HE TALKED ABOUT THE DINNER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s56.wav,CH,02,56,MOM POINTED AT THE COFFEE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s58.wav,CH,02,58,SHE THINKS THAT IT IS FAST
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s8.wav,CH,02,8,WE READ ABOUT THE FAMILY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_02_s9.wav,CH,02,9,SHE POINTED AT HER HEAD
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s1.wav,CH,03,1,HE POINTED AT THE CENTS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s11.wav,CH,03,11,DAD READ ABOUT THE SKY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s14.wav,CH,03,14,WE TALKED ABOUT THE WATER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s15.wav,CH,03,15,SHE LOOKED AT THE CLOCK
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s16.wav,CH,03,16,HE POINTED AT THE ANIMALS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s18.wav,CH,03,18,DAD POINTED AT THE GRASS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s2.wav,CH,03,2,DAD TALKED ABOUT THE BOMB
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s21.wav,CH,03,21,DAD TALKED ABOUT THE SHEETS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s22.wav,CH,03,22,MOM THINKS THAT IT IS YELLOW
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s27.wav,CH,03,27,HE LOOKED AT HER WRIST
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s28.wav,CH,03,28,WE READ ABOUT THE COACH
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s3.wav,CH,03,3,MOM POINTED AT HIS FATHER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s31.wav,CH,03,31,THIS IS HER FAVORITE WEEK
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s35.wav,CH,03,35,MOM LOOKED AT THE JUICE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s37.wav,CH,03,37,SHE TALKED ABOUT THEIR NECKS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s39.wav,CH,03,39,SHE TALKED ABOUT THE LEAVES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s40.wav,CH,03,40,WE LOOKED AT THE STORY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s41.wav,CH,03,41,THIS IS HER FAVORITE SPORT
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s44.wav,CH,03,44,MOM LOOKED AT HER FEET
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s46.wav,CH,03,46,HE READ ABOUT THE TREES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s48.wav,CH,03,48,MOM TALKED ABOUT THE PIE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s5.wav,CH,03,5,WE POINTED AT THE BIRD
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s50.wav,CH,03,50,HE LOOKED AT THE SLEEVES
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s51.wav,CH,03,51,THIS IS HER FAVORITE TIME
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s52.wav,CH,03,52,THERE ARE MANY DAYS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s55.wav,CH,03,55,HE TALKED ABOUT THE DINNER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s56.wav,CH,03,56,MOM POINTED AT THE COFFEE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s58.wav,CH,03,58,SHE THINKS THAT IT IS FAST
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s8.wav,CH,03,8,WE READ ABOUT THE FAMILY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_03_s9.wav,CH,03,9,SHE POINTED AT HER HEAD
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s1.wav,CH,04,1,HE POINTED AT THE CENTS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s11.wav,CH,04,11,DAD READ ABOUT THE SKY
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s14.wav,CH,04,14,WE TALKED ABOUT THE WATER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s15.wav,CH,04,15,SHE LOOKED AT THE CLOCK
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s16.wav,CH,04,16,HE POINTED AT THE ANIMALS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s18.wav,CH,04,18,DAD POINTED AT THE GRASS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s2.wav,CH,04,2,DAD TALKED ABOUT THE BOMB
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s21.wav,CH,04,21,DAD TALKED ABOUT THE SHEETS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s22.wav,CH,04,22,MOM THINKS THAT IT IS YELLOW
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s27.wav,CH,04,27,HE LOOKED AT HER WRIST
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s28.wav,CH,04,28,WE READ ABOUT THE COACH
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s3.wav,CH,04,3,MOM POINTED AT HIS FATHER
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s31.wav,CH,04,31,THIS IS HER FAVORITE WEEK
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s35.wav,CH,04,35,MOM LOOKED AT THE JUICE
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s37.wav,CH,04,37,SHE TALKED ABOUT THEIR NECKS
\\iowa.uiowa.edu\shared\ResearchData\rdss_ekutlu\VOICELab\Stimuli\accentedstim\stim (from WildCat SPEECHBOX)\6 - ampnormed\CH_M_04_s39.wav,CH,04,39,SHE TALKED ABOUT THE LEAVES
